"App","Source","M2","M3","Mini","Intel","Usage","Notes"
".Karabiner-VirtualHIDDevice-Manager","","Yes","","","","",""
"Adobe Acrobat Reader","","Yes","","","Yes","Active","PDF Reader"
"Agapé","","Yes","","","","",""
"AI Chat","","Yes","","","","",""
"Air Printer","App Store","Yes","","","","",""
"Airalo","","Yes","","","","",""
"Alamo","","Yes","","","","",""
"Allset","","Yes","","","","",""
"Amazon Kindle","","Yes","","Yes","Yes","",""
"Anaconda-Navigator","","","","Yes","","",""
"Antivirus One","App Store","Yes","","","","",""
"Art of Manliness","","Yes","","","","",""
"Bartender 5","","","","","Yes","Active","Menu bar arrangement"
"Bartender 6","","Yes","","Yes","","Active","Menu bar arrangement"
"BBBox 2 Lite","","Yes","","","","",""
"BBBox Lite","","Yes","","","","",""
"BBEdit","","Yes","","Yes","Yes","Active","Full-featured text editor"
"BBMR","","Yes","","","","",""
"BetterZip","","Yes","","","","",""
"BibDesk","","Yes","","Yes","Yes","",""
"Bike","","Yes","","","","",""
"Blink Charging","","Yes","","","","",""
"Blinq","","Yes","","","","",""
"Blu-ray Ripper","","Yes","","","","",""
"Box","","Yes","","","Yes","",""
"C&MA Events","","Yes","","","","",""
"calibre","","Yes","","","","",""
"California Pizza Kitchen (CPK)","","Yes","","","","",""
"Camera Settings","","","","","Yes","",""
"Capital One Shopping","App Store","Yes","","Yes","Yes","",""
"CARR","","Yes","","","","",""
"CAVA","","Yes","","","","",""
"ChargeHub EV Map","","Yes","","","","",""
"Chatbot App - AI Chatbot","","Yes","","","","",""
"ChatGPT","","Yes","","Yes","Yes","",""
"ChatGPT Atlas","","Yes","","Yes","","",""
"ChowNow","","Yes","","","","",""
"CNET Shopping","App Store","Yes","","","","",""
"Comet","","Yes","","","","",""
"CotEditor","App Store","Yes","","","","",""
"CouponCabin","App Store","Yes","","","Yes","",""
"Cowbell","","Yes","","","","",""
"CSC Go","","Yes","","","","",""
"Curb","","Yes","","","","",""
"DaisyDisk","","Yes","","","","",""
"Default Folder X","","Yes","","Yes","Yes","",""
"Delta Dental Mobile App","","Yes","","","","",""
"Din Tai Fung Waitlist","","Yes","","","","",""
"DiskWarrior","","","","","Yes","",""
"Docker","","Yes","","","","",""
"Downie 4","","Yes","","","","",""
"Dropbox","","Yes","","","Yes","",""
"Dropbox Capture","","","","","Yes","",""
"Dropbox Dash","","Yes","","","","",""
"Fantastical","App Store","Yes","","Yes","Yes","",""
"Feit Electric","","Yes","","","","",""
"Firefox","","Yes","","","","",""
"Fivestars","","Yes","","","","",""
"Flighty","App Store","Yes","","","Yes","",""
"Fly Delta","","Yes","","","","",""
"Franz","","Yes","","","","",""
"GarageBand","App Store","Yes","","Yes","Yes","",""
"Geekbench 5","","Yes","","","","",""
"Geekbench 6","","Yes","","","","",""
"GitHub Desktop","","Yes","","","","",""
"GitKraken","","Yes","","Yes","Yes","",""
"Good Stopwatch","App Store","","","","Yes","",""
"Goodnotes","App Store","Yes","","","","",""
"GoodTask","App Store","Yes","","","","",""
"Google Chrome","","Yes","","Yes","Yes","",""
"Google Docs","","Yes","","Yes","Yes","",""
"Google Drive","","Yes","","Yes","Yes","",""
"Google Sheets","","Yes","","Yes","Yes","",""
"Google Slides","","Yes","","Yes","Yes","",""
"GraphicConverter 12","","Yes","","Yes","Yes","",""
"Haidilao","","Yes","","","","",""
"HealthEquity","","Yes","","","","",""
"HP Smart","App Store","Yes","","","","",""
"IKEA","","Yes","","","","",""
"iMovie","App Store","Yes","","Yes","Yes","",""
"Impulse","","Yes","","","","",""
"iParkit","","Yes","","","","",""
"iStat Menus","","Yes","","Yes","Yes","",""
"iStat Menus 6","","Yes","","","","",""
"Joy","","Yes","","","","",""
"JupyterLab","","Yes","","Yes","Yes","",""
"Kee Wah Bakery 奇華月餅 - LA","","Yes","","","","",""
"Keyboard Maestro","","","","","Yes","",""
"Keynote","App Store","Yes","","Yes","Yes","",""
"Klara","","Yes","","","","",""
"Lasso","","Yes","","","","",""
"LastPass","App Store","","","","Yes","",""
"LastPass for Safari","App Store","Yes","","","","",""
"LaTeXiT","","Yes","","Yes","Yes","",""
"LeCab","","Yes","","","","",""
"LIFY+","","Yes","","","","",""
"LINE","App Store","","","","Yes","",""
"Logos","","Yes","","","","",""
"MacDown","","Yes","","Yes","Yes","",""
"Maggiano's","","Yes","","","","",""
"MarkEdit","","Yes","","","","",""
"Marugame Udon","","","","","","",""
"MATLAB_R2025a","","Yes","","Yes","Yes","Active","Mathematical software environment"
"MATLAB_R2025b","","Yes","","Yes","Yes","Active","Mathematical software environment"
"Menya Ultra","","Yes","","","","",""
"Messenger","App Store","","","Yes","Yes","",""
"Metropolis","","Yes","","","","",""
"Microsoft Edge","","Yes","","","","",""
"Microsoft Excel","App Store","Yes","","Yes","Yes","",""
"Microsoft OneNote","App Store","Yes","","","Yes","",""
"Microsoft Outlook","App Store","Yes","","Yes","Yes","",""
"Microsoft PowerPoint","App Store","Yes","","Yes","Yes","",""
"Microsoft Remote Desktop","App Store","","","","Yes","",""
"Microsoft Teams","","Yes","","Yes","Yes","",""
"Microsoft To Do","App Store","","","","Yes","",""
"Microsoft Word","App Store","Yes","","Yes","Yes","",""
"MuniMobile","","Yes","","","","",""
"My Card Wallet","","Yes","","","","",""
"My Energy Center","","Yes","","","","",""
"My Firestone","","Yes","","","","",""
"MyLinks","","Yes","","","","",""
"Name Mangler","","Yes","","Yes","","",""
"NTFoods","","Yes","","","","",""
"Numbers","App Store","Yes","","Yes","Yes","",""
"NZeTA","","Yes","","","","",""
"NZTD","","Yes","","","","",""
"Obi","","Yes","","","","",""
"OneDrive","App Store","Yes","","Yes","Yes","",""
"OTP Manager","App Store","Yes","","","Yes","",""
"Pages","App Store","Yes","","Yes","Yes","",""
"Parallels Desktop","","Yes","","","Yes","",""
"Parallels Toolbox","","","","","Yes","",""
"Pass2U Wallet","","Yes","","","","",""
"Pass4Wallet","","Yes","","","","",""
"Paste","App Store","Yes","","","","",""
"Pause","","Yes","","","","",""
"PayPal Honey","App Store","Yes","","","","",""
"PDFCombo","App Store","","","","Yes","",""
"Perplexity","App Store","Yes","","Yes","Yes","",""
"Plex Media Server","","Yes","","","","",""
"Poll Everywhere","","","","","Yes","",""
"Pretty Progress","","Yes","","Yes","","",""
"Quick Note","App Store","","","","Yes","",""
"Rakuten Cash Back","App Store","Yes","","","","",""
"Rectangle","","","","Yes","","",""
"Rectangle Pro","","Yes","","Yes","Yes","",""
"Rocket Typist","","Yes","","","","",""
"Safari","","Yes","","Yes","Yes","",""
"SageMath-10-0","","Yes","","","","",""
"Scapple","","Yes","","","","",""
"Shop","","Yes","","Yes","","",""
"Signal","","","","Yes","","",""
"Slack","App Store","Yes","","Yes","Yes","",""
"Solitaire","","Yes","","","","",""
"Soulver 3","","Yes","","","","",""
"Spaces by Wix","","Yes","","","","",""
"Speedtest","App Store","Yes","","Yes","Yes","",""
"SplitPrint","App Store","Yes","","","","",""
"Spotify","","Yes","","","Yes","",""
"SWE Events","","Yes","","","","",""
"Tabletop Simulator","","","","","Yes","",""
"Taio","App Store","Yes","","","","",""
"Tempus Stopwatch","App Store","Yes","","","Yes","",""
"TeX Live Utility","","Yes","","Yes","Yes","",""
"TeXShop","","Yes","","Yes","Yes","",""
"TeXStudio (FIXED)","","Yes","","","","",""
"texstudio-4.8.9-osx-m1","","Yes","","Yes","","",""
"texstudio-4.9.0-osx","","","","","Yes","",""
"texstudio-4.9.0-osx-m1","","Yes","","Yes","","",""
"TextSniper","","Yes","","","Yes","",""
"TickPick","","Yes","","","","",""
"Time Out Market","","Yes","","","","",""
"Translator GO","","Yes","","","","",""
"TripIt","App Store","Yes","","Yes","Yes","",""
"TripSource","","Yes","","","","",""
"Twitter","App Store","Yes","","","Yes","",""
"Unclutter","","Yes","","","Yes","",""
"United MileagePlus Shopping℠","App Store","Yes","","Yes","Yes","",""
"Unreached of the Day","","Yes","","","","",""
"Visual Studio Code","","Yes","","Yes","Yes","",""
"VLC","","Yes","","","","",""
"Wealthfront","","Yes","","","","",""
"Webex","","Yes","","","","",""
"WeChat","App Store","Yes","","Yes","Yes","",""
"Wegmans","","Yes","","","","",""
"Westfield","","Yes","","","","",""
"WhatsApp","App Store","Yes","","Yes","","",""
"White Noise","","Yes","","","","",""
"Wolfram","","Yes","","","","",""
"WolframScript","","Yes","","","","",""
"Wondershare UniConverter 15","","Yes","","","","",""
"Wondershare UniConverter 16","","Yes","","","","",""
"Wondr Health","","Yes","","","","",""
"World Time","App Store","Yes","","","","",""
"Xcode","App Store","Yes","","","","",""
"zoom.us","","Yes","","Yes","Yes","",""
